index,real_sentence,fake_sentence
1311,yeah and as long as we keep paying the money for it they are going to keep paying them you know yes oh yeah oh that was that was an excellent movie,yeah and as long as we keep paying the money for it they are going to keep paying them you know yes oh yeah oh that was that was an excellent movie
1312,yes yeah maybe we don't want those people voting,yes yeah maybe we don't want those people voting
1313,Centrelink is a one-stop shop that pays a variety of Australian government benefits.,Centrelink is a one-stop shop that pays a variety of Australian government benefits.
1314,right they have a hundred dollars to spend in December i know what you mean,right they have a hundred dollars to spend in December i know what you mean
1315,um i'm north of Pittsburgh so,um i'm north of Pittsburgh so
1316,"In answer to the Coroner's questions, he explained that he was a qualified pharmacist, but had only recently come to this particular shop, as the assistant formerly there had just been called up for the army. ","In answer to the Coroner's questions, he explained that he was a disqualifed pharmacist, but had only recently come to this general shop, as the assistant formerly there had just been called up for the army."
1317,"[Y]ou would probably be traipsing through New York right now, enjoying many misadventures, like a latter-day Ann Marie, Marlo Thomas' character from the 1966-1971 TV sitcom That Girl . Why, there is even a resemblance!","[ Y] ou would probably be traipsing through New York right now, enjoying few misadventures, like a latter-day Ann Marie, Marlo Thomas' character from the 1966-1971 TV sitcom That Girl. Why, there is even a resemblance!"
1318,"As a share of GDP, federal taxes have been roughly stable under Clinton.","As a share of GDP, unitary taxes have been roughly unstable under Clinton."
1319,"The number of individuals seeking relief from the floods across South Texas increased by more than 1,000 Tuesday, bringing the total to 5,855, he said.","The number of individuals seeking relief from the floods across South Texas increased by fewer than 1,000 Tuesday, bringing the total to 5,855, he said."
1320,"The Clinger-Cohen Act of 1996 amended the PRA, renaming and elevating former information resources manager positions to executive-level CIOs who report directly to the agency head and have information management as a primary responsibility.","The Clinger-Cohen Act of 1996 amended the PRA, renaming and elevating latter information resources manager positions to executive-level CIOs who report directly to the agency head and have information management as a secondary responsibility."
1321,"Posters, portraits, easel-sketches.","Posters, portraits, easel-sketches."
1322,i don't know i guess i'm in a neighborhood and it's  it's just real tough on animals here you know when i every time i see one run over i just you know it makes me sick  so,i don't know i guess i'm in a neighborhood and it's it's just insubstantial tender on animals here you know when i every time i see one run over i just you know it makes me keep_down so
1323,The economy could be still better.,The economy could be still better.
1324,the value of compounding-how money saved can grow over time.,the value of compounding-how money saved can grow over time.
1325,there are a lot of people that aren't guilty that's in jail,there are a lot of people that aren't innocent that's in jail
1326,. The beautiful stucco ceiling is by Michael Stapleton (who is also responsible for the ceilings in the Dublin Writers Museum).,. The ugly stucco ceiling is by Michael Stapleton( who is also irresponsible for the ceilings in the Dublin Writers Museum).
1327,The design for the new building was the subject of a competition won by Spanish architect and designer Enric Miralles.,The design for the old building was the subject of a competition won by Spanish architect and designer Enric Miralles.
1328,Injury as a motivator to reduce drinking.,Injury as a motivator to reduce drinking.
1329,The others looked to Jon.,The others looked to Jon.
1330,The crowd murmured and whispered when they caught sight of the jewels in the sword's twisted hand-guard.,The crowd murmured and whispered when they caught sight of the jewels in the sword's unbened hand-guard.
1331,yeah something to do extracurricular activity,yeah something to do extracurricular activity
1332,Its interior chamber was found to contain a red granite sarcophagus.,Its exterior chamber was found to contain a gaied granite sarcophagus.
1333,"Critical Infrastructure  Significant Homeland Security Challenges Need to Be Addressed (GAO-02-918T, July 9, 2002).","noncritical Infrastructure Significant Homeland Security Challenges Need to Be Addressed( GAO-02-918T, July 9, 2002)."
1334,Consider the United States Postal Service.,Consider the United States Postal Service.
1335,"Because every generation is in part responsible for the economy it passes on to the next, today's fiscal policy choices must be informed by the long-term.","Because every generation is in part irresponsible for the economy it passes on to the next, today's nonfinancial policy choices must be informed by the long-term."
1336,of the original data and analyses and problems in verifying their quality (Hoaglin et al.,of the unoriginal data and analyses and problems in verifying their quality( Hoaglin et al.
1337,", Data for  Information Strategies for",", Data for Information Strategies for"
1338,"I wonder whether, after all, you know as much as we think? he said softly.","I wonder whether, after all, you know as little as we think? he said softly."
1339,"Generally, LC mail is lighter than AO mail.","Generally, LC mail is dark than AO mail."
1340,The room was as she had left it.,The room was as she had left it.
1341,right and you know there's not going to be those adding mistakes that we all make,right and you know there's not going to be those adding mistakes that we all make
1342,"According to the company, voters will be able to verify their identity using their date of birth and a digital signature.","According to the company, voters will be unable to verify their identity using their date of birth and a analogue signature."
1343,"In the most tragic examples, a charismatic professor will entice them into a lifetime of French medieval history, about which their curiosity is exhausted before they get their Ph.D.s.","In the most tragic examples, a charismatic professor will entice them into a lifetime of French medieval history, about which their curiosity is exhausted before they get their Ph.D.s."
1344,"Following the conclusion of negotiations of the Agreement, the FCC revised its proposed rule and published a Further Notice of Proposed Rulemaking on July 29, 1997.","Following the conclusion of negotiations of the Agreement, the FCC revised its proposed rule and published a Further Notice of Proposed Rulemaking on July 29, 1997."
1345,"The NAACP's Fort Worth Justice Project will get $49,000.","The NAACP's Fort Worth Justice Project will get$ 49,000."
1346,Pete Stark is leading a crusade to stop the practice.,Pete Stark is leading a crusade to stop the practice.
1347,yeah we had a rabbit up until uh last summer and we gave him away because the girls lost interest in him and couple of them we're getting allergic to rabbits uh i uh we had a tough time deciding on a name so i named him uh Mister Tibbar and they wanted to know how i figured out that name and i said well it's rabbit spelled backwards,yeah we had a rabbit up until uh first summer and we gave him away because the girls lost interest in him and couple of them we're getting allergic to rabbits uh i uh we had a tender time deciding on a name so i named him uh Mister Tibbar and they wanted to know how i figured out that name and i said well it's rabbit spelled backwards
1348,No one has even been seriously injured at the UFC.,No one has even been seriously injured at the UFC.
1349,"Indeed many of the carpets seem just too lovely to walk on, but they make superb wall hangings, and even if you can't remortgage your house to buy a big one, even a modest bedside rug can do wonders to warm and brighten a room.","Indeed few of the carpets seem just too lovely to walk on, but they make superb wall hangings, and even if you can't remortgage your house to buy a little one, even a immodest bedside rug can do wonders to warm and brighten a room."
1350,okay well i enjoyed talking to you,okay well i enjoyed talking to you
1351,but it but it's always seemed to me that that those people who should be paid the most i think or paid significantly you know significantly more are are teacher types because they sort of hold for of the future in our hands than almost anyone else yet yet i don't think that uh it it it's being done i also i mean in general i think that our educational system is okay but i think we're lacking in some very specific areas,but it but it's always seemed to me that that those people who should be paid the most i think or paid significantly you know significantly fewer are are teacher types because they sort of hold for of the future in our hands than almost anyone else yet yet i don't think that uh it it it's being done i also i mean in local i think that our educational system is disapprove but i think we're lacking in some very general areas
1352,okay all right hey bye-bye,okay all falsify hey bye-bye
1353,These initiatives include working with providers to ensure that medical records support billed services.,These initiatives include working with providers to ensure that surgical records support billed services.
1354,"And, while this sounds like a cliche, it's undoubtedly  Parcells makes his players believe they can win, so they do.","And, while this sounds like a cliche, it's undoubtedly Parcells makes his players believe they can win, so they do."
1355,"It is the largest marketplace in the Near East, and it's been so for almost one thousand years.","It is the little marketplace in the Near East, and it's been so for almost one thousand years."
1356,easier just to go out and buy it already made,easier just to go out and buy it already made
1357,Agencies can use IT to inform the public about participation opportunities either through passive systems that require users to take the initiative to discover rules available for comment or proactive systems that alert interested individuals or organizations about impending regulatory actions.,Agencies can use IT to inform the public about participation opportunities either through active systems that require users to take the initiative to discover rules unavailable for comment or retroactive systems that unalert bored individuals or organizations about impending regulatory actions.
1358,but it doesn't they don't really say that you know you're you're always going to have great career conditions,but it doesn't they don't really say that you know you're you're always going to have great career conditions
1359,Respond in kind and you'll soon feel at home.,Respond in kind and you'll soon feel at home.
1360,"She earned a bachelor's degree in English literature from Davidson College before heading to Georgetown for her law degree, where she finished in 1993.","She earned a bachelor's degree in English literature from Davidson College before heading to Georgetown for her law degree, where she finished in 1993."
1361,"For example, desktop platforms and software vary among business units depending on the unique needs of each business area.","For example, desktop platforms and software conform among business units depending on the unique needs of each business area."
1362,The work that we do is the purest form of expression of the core values of all of the major faith traditions.,The work that we do is the impure form of expression of the core values of all of the minor faith traditions.
1363,The Liberal Humanitarians are a product of the post-Cold War peace.,The conservative Humanitarians are a product of the post-Cold War peace.
1364,Examples of Control Activities,Examples of Control Activities
1365,um oh with the Dallas Cowboys although they haven't done very well the last couple of years but uh they'll be back up there,um oh with the Dallas Cowboys although they haven't done very well the first couple of years but uh they'll be back up there
1366,"Otherwise, I'll think of something else.""  Dave followed the man out into the clearing.","Otherwise, I'll think of something else.'' Dave followed the man out into the clearing."
1367,if they don't have good French fries you know if it's one of if it's a place that has other things if it's not that then we go to Chinese food you know i order,if they don't have bad French fries you know if it's one of if it's a place that has same things if it's not that then we go to Chinese food you know i order
1368,New Goya rooms in the Prado were opened in March 1999.,New Goya rooms in the Prado were opened in March 1999.
1369,having hurt my wrist.,having hurt my wrist.
1370,"It's his job.""  ",It's his job.''
1371,"In other respects, too, they evince a prickly xenophobic nationalism.","In same respects, too, they evince a prickly xenophobic nationalism."
1372,The English slunk away without the loot.,The English slunk away without the loot.
1373,and they'll just go out and do anything they can to do it,and they'll just go out and do anything they can to do it
1374,"LAST-IN, FIRST-OUT (LIFO) - A cost flow assumption; the last goods purchased are assumed to be the first goods sold.","LAST-IN, FIRST-OUT( LIFO)- A cost flow assumption; the first goods purchased are assumed to be the last goods sold."
1375,"Unlike the students of Columbia or the Sorbonne, they persevered, and they won--something.","Unlike the students of Columbia or the Sorbonne, they persevered, and they won-- something."
1376,oh oh wasn't that nice of him,oh oh wasn't that nasty of him
1377,"Its costs included $15,600 in broker commissions and a $9,234 prepayment penalty to terminate the New Century loan.","Its costs included$ 15,600 in broker commissions and a$ 9,234 prepayment penalty to terminate the New Century loan."
1378,"Shortly after taking office, he entertained Frank Zappa on a state visit.","Shortly after taking office, he entertained Frank Zappa on a state visit."
1379,"Sit down, Dave Hanson.","Sit down, Dave Hanson."
1380,DOD's policy lacks the criteria to measure design stability and process controls.,DOD's policy lacks the criteria to measure design stability and process controls.
1381,well she comes from a a country where the model,well she comes from a a country where the model
1382,"A risk assessment is the process of identifying potential risks in a system under development and then determining the significance of each risk in terms of its likelihood and impact on the acquisition's cost, schedule, and ability","A risk assessment is the process of identifying actual risks in a system under development and then determining the significance of each risk in terms of its likelihood and impact on the acquisition's cost, schedule, and ability"
1383,"In recent months, Chinese corporations have taken stakes in Hong Kong Telecom, Dragon Air, and China Light &amp; Power.","In recent months, Chinese corporations have taken stakes in Hong Kong Telecom, Dragon Air, and China Light& amp; Power."
1384,I blinked back blindness.,I blinked back blindness.
1385,well i have i'm really torn on the subject i'm not a good candidate for this one i see what you see and i agree with you,well i have i'm really torn on the subject i'm not a bad candidate for this one i see what you see and i agree with you
1386,A lot of extra cars were parked around the town- cameras and notebooks were in evidence.,A lot of extra cars were parked around the town- cameras and notebooks were in evidence.
1387,but uh the miniskirt many times will evoke comments you don't really want,but uh the miniskirt few times will evoke comments you don't really want
1388,oh that's quite reasonable,oh that's quite unreasonable
1389,Drew sat watching the dust arise again as the trio of riders pounded away.,Drew sat watching the dust arise again as the trio of riders pounded away.
1390,uh-huh a perceived decline anyway yeah,uh-huh a perceived decline anyway yeah
1391,"They ate in silence, enjoying the cool shade of the bluff.","They ate in silence, enjoying the heat shade of the bluff."
1392,Much of the opposition had nothing to do with planned obsolescence and everything to do with concern that the Monsanto's infertility gene might leap from its seeds to fertile seeds in adjoining farms and eventually render those fertile strains infertile.,little of the opposition had nothing to do with unplanned obsolescence and everything to do with concern that the Monsanto's infertility gene might leap from its seeds to fertile seeds in adjoining farms and eventually render those sterile strains infertile.
1393,"The tours are rushed, and the route may vary due to restoration work.","The tours are rushed, and the route may vary undue to restoration work."
1394,"In 1443, it was reunited with Sicily and known as the Kingdom of the Two Sicilies under the Spanish King Alfonso V of Aragon.","In 1443, it was reunited with Sicily and known as the Kingdom of the Two Sicilies under the Spanish King Alfonso V of Aragon."
1395,The Esthonia Glassware Co.,The Esthonia Glassware Co.
1396,"Above all, they excelled in the visual arts.","Above all, they excelled in the visual arts."
1397,"At the request of Congress, we studied a number of leading public sector organizations that were successfully pursuing management reform initiatives and becoming more results-oriented.","At the request of Congress, we studied a number of leading private sector organizations that were successfully pursuing management reform initiatives and becoming fewer results-oriented."
1398,well i'll check that out uh-huh,well i'll check that out uh-huh
1399,We've been threatened with it in plain and unmistakable terms.,We've been threatened with it in plain and unmistakable terms.
1400,"Spring and summer make better visits, when you can admire the irises and flowering shrubs of the inner gardens.","Spring and summer make bad visits, when you can admire the irises and flowering shrubs of the inner gardens."
1401,Don't you realize that these are mostly private institutions!,Don't you realize that these are mostly public institutions!
1402,Christmas time is especially popular here when pilgrims come to admire relics of the holy crib from Beth?­lehem.,Christmas time is especially unpopular here when pilgrims come to admire relics of the unholy crib from Beth? ­lehem.
1403,"Then he took it out, shut 182 the drawer, walked slowly over to an arm-chair, and sat down still staring at the photograph in his hand.","Then he took it out, shut 182 the drawer, walked slowly over to an arm-chair, and sat down still staring at the photograph in his hand."
1404,"There is something artificial even about this heart of mine, he wrote in 1886.","There is something natural even about this heart of mine, he wrote in 1886."
1405,"Where everybody sneezes once or twice, I always sneeze at least five or six times--sometimes more.","Where everybody sneezes once or twice, I always sneeze at most five or six times-- sometimes more."
1406,Victorious Couch Potatoes,Victorious Couch Potatoes
1407,we may get some more tonight,we may get some fewer tonight
1408,"It is, however, best to reserve your accommodation in forest rest-houses in advance of your journey.","It is, however, bad to reserve your accommodation in forest rest-houses in advance of your journey."
1409,From global gold standard to GONE in less than two years!,From global gold standard to GONE in more than two years!
1410,"And it is impossible to see how this difference from Rust has any bearing upon the First Amendment question, which, to repeat, is whether the funding scheme is 'manipulated' to have a 'coercive effect' on those who do not hold the subsidized position.","And it is possible to see how this difference from Rust has any bearing upon the First Amendment question, which, to repeat, is whether the funding scheme is'manipulated' to have a'coercive effect' on those who do not hold the subsidized position."
1411,um well like i said my fiancee,um well like i said my fiancee
1412,He looked down at himself in disgust.,He looked down at himself in disgust.
1413,"In Palermo, churches and mosques stood side-by-side, feudal castles next to Oriental palaces and their exotic gardens.","In Palermo, churches and mosques stood side-by-side, feudal castles next to Oriental palaces and their exotic gardens."
1414,"A December 1996 article in al-Hayat , an Arab newspaper published in London, asserted that Albright, as a Jew, would be a dangerously pro-Israel secretary of state.","A December 1996 article in al-Hayat, an Arab newspaper published in London, asserted that Albright, as a Jew, would be a dangerously pro-Israel secretary of state."
1415,"America needs a clean, secure, affordable, reliable energy supply in the years ahead.","America needs a clean, secure, affordable, undependable energy supply in the years ahead."
1416,yeah one of the things they tried to push through in Maryland and uh weren't very successful was that if you were an able bodied person on welfare,yeah one of the things they tried to push through in Maryland and uh weren't very unsuccessful was that if you were an unable unbodied person on welfare
1417,"Different metrics may be useful for an audit, depending on the objectives and status of an acquisition.","like metrics may be useless for an audit, depending on the objectives and status of an acquisition."
1418,"To the left of the high altar is a small chapel whose 10th-century Madonna di Nicopeia, a bejeweled icon also from Constantinople, is said to have healing powers and is a runner-up as Venice's protective patron after St. Mark.","To the left of the low altar is a big chapel whose 10th-century Madonna di Nicopeia, a bejeweled icon also from Constantinople, is said to have healing powers and is a runner-up as Venice's unprotective patron after St. Mark."
1419,Both volumes serve as authoritative references to the standards and interpretations.,Both volumes serve as authoritative references to the standards and interpretations.
1420,yeah it's a nice way to relax i mean in a way i mean i find it anyway although sometimes watching the news isn't very relaxing  i get home from from,yeah it's a nasty way to relax i mean in a way i mean i find it anyway although sometimes watching the news isn't very relaxing i get home from from
1421,But her chances for finding a replacement gig dwindle with every lost job and every looming birthday.,But her chances for finding a replacement gig dwindle with every lost job and every looming birthday.
1422,The one area where Stevenson has it correct is that it is increasingly hard to educate young people about the real dangers of drug use.,The one area where Stevenson has it correct is that it is increasingly easy to educate aged people about the insubstantial dangers of drug use.
1423,"These intriguing horseshoe-shaped valleys nestle like narrow amphi?­theaters against abrupt rocky cliffs, making rewarding destinations for a pleasant day's hike.","These intriguing horseshoe-shaped valleys nestle like broad-minded amphi? ­theaters against abrupt smooth cliffs, making rewarding destinations for a unpleasant day's hike."
1424,Things could go poorly in these caves.,Things could go poorly in these caves.
1425,"The handling and processing of the reagent, commonly limestone, is often done onsite, as is the treatment of the effluent as waste or processing into a saleable product (e.g.","The handling and processing of the reagent, commonly limestone, is often done onsite, as is the treatment of the effluent as waste or processing into a unsalable product( e.g."
1426,"Critics chalk up Calder's previous low standing to the abundance of sculptures he made in the '60s for corporate plazas, which are labeled mostly boring (Robert Hughes, Time ). (Click here for the National Gallery site.)","Critics chalk up Calder's previous high standing to the abundance of sculptures he made in the'60s for corporate plazas, which are labeled mostly interesing( Robert Hughes, Time).( Click here for the National Gallery site.)"
1427,"As Dave's eyes took in the whole situation, the cliff crumbled completely, and the dozer came lunging over the edge, plunging straight for him.","As Dave's eyes took in the fractional situation, the cliff crumbled completely, and the dozer came lunging over the edge, plunging straight for him."
1428,"Penrose licensed the pattern to Pentaplex Ltd., which manufactures puzzles and games, and now both parties are suing Kimberly-Clark, the original makers of Kleenex, for copyright infringement.","Penrose licensed the pattern to Pentaplex Ltd., which manufactures puzzles and games, and now both parties are suing Kimberly-Clark, the unoriginal makers of Kleenex, for copyright infringement."
1429,"As she had thought it stood a little ajar, and the voices within were plainly audible.","As she had thought it stood a big ajar, and the voices within were plainly inaudible."
1430,1 The information obtained from these reports becomes part of the publically available data base known as the Toxic Release Inventory or TRI.,1 The information obtained from these reports becomes part of the publically unavailable data base known as the Toxic Release Inventory or TRI.
1431,"He was hardly more than five feet, four inches, but carried himself with great dignity. ","He was hardly fewer than five feet, four inches, but carried himself with great dignity."
1432,Fiss' analysis of the Mapplethorpe case offers a good example of the perils of his interventionist approach.,Fiss' analysis of the Mapplethorpe case offers a bad example of the perils of his interventionist approach.
1433,"The increase in citizenship applications has led to longer processing periods and, according to critics, to some immigrants being wrongly naturalized.","The increase in citizenship applications has led to longer processing periods and, according to critics, to some immigrants being wrongly naturalized."
1434,He retaliated by filing one against her.,He retaliated by filing one against her.
1435,"The reasons are appropriate for the case study application, an issue of particular concern if a generalization of the findings is intended.","The reasons are inappropriate for the case study application, an issue of general concern if a generalization of the findings is intended."
1436,He considered sending San'doro to find out what had happened but the air shattered to the east and a body and horse fell hard to the crunch of bone on stone.,He considered sending San'doro to find out what had happened but the air shattered to the east and a body and horse fell hard to the crunch of bone on stone.
1437,"General Accounting Office, Managing for  Emerging Benefits From Selected Agencies' Use of Performance Agreements, GAO-01-115 (Washington, D.C.: Oct. 30, 2000).","General Accounting Office, Managing for Emerging Benefits From Selected Agencies' Use of Performance Agreements, GAO-01-115( Washington, D.C.: Oct. 30, 2000)."
1438,Didn't have anythin' to go back to there.,Didn't have anythin' to go back to there.
1439,A town of peace far from those who hunt for you.,A town of peace far from those who hunt for you.
1440,The majestic double staircase inside inspired Charles Garnier for his design of the Paris Opera House.,The majestic multivalent staircase inside inspired Charles Garnier for his design of the Paris Opera House.
1441,"I dare not, monsieur; I am afraid of them. She turned away.","I dare not, monsieur; I am unafraid of them. She turned away."
1442,Composer Giuseppe Verdi was the Risorgimento's towering artist.,Composer Giuseppe Verdi was the Risorgimento's towering artist.
1443,Effective management of an organization's workforce-its human capital-is essential to achieving results and an important part of internal control.,ineffective management of an organization's workforce-its nonhuman capital-is essential to achieving results and an insignificant part of external control.
1444,Apparently then this must be another of their frenzied efforts to find a way to put back the sky.,Apparently then this must be another of their frenzied efforts to find a way to put back the sky.
1445,summary of the officials' oral comments and provide a copy of the summary to management of the audited entity to verify that the comments are accurately stated.,summary of the officials' aboral comments and provide a copy of the summary to management of the audited entity to verify that the comments are accurately stated.
1446,The magazines split over Kathleen Willey.,The magazines split over Kathleen Willey.
1447,"Even if you're not an avid bird-watcher, you'll enjoy the gentle walks in the woodland, with the chance of seeing exciting herds of nilghai antelope, blackbuck, and cheetal (spotted deer).","Even if you're not an avid bird-watcher, you'll enjoy the gentle walks in the woodland, with the chance of seeing caling herds of nilghai antelope, blackbuck, and cheetal( spotted deer)."
1448,I have already spent time with representatives of the power generation sector and have heard from a number of them who are interested in legislation that will provide the public health and environmental benefits we discussed today.,I have already spent time with representatives of the power generation sector and have heard from a number of them who are bored in legislation that will provide the private health and environmental benefits we discussed today.
1449,"In addition, many federal CFOs have primary leadership responsibility for implementing the Results Act at the department or agency level.","In addition, few unitary CFOs have secondary leadership responsibility for implementing the Results Act at the department or agency level."
1450,This is one of many churches built during the Christianization of territory won from the Moors by James I in legendary 13th-century battles,This is one of few churches built during the Christianization of territory won from the Moors by James I in legendary 13th-century battles
1451,The lag reflects the fact that the rate of return on U.S. assets abroad consistently exceeded the return on foreign-owned assets in the United States.,The lag reflects the fact that the rate of return on U.S. assets abroad consistently exceeded the return on foreign-owned assets in the United States.
1452,I ”I believe so.,I ” I believe so.
1453,"The quincentennial anniversary celebrating his 1492 voyage saw the city's historical port undergo a face-lift, and the addition of the Aquarium, the largest in Europe, a must-see for visitors with children.","The quincentennial anniversary celebrating his 1492 voyage saw the city's ahistorical port undergo a face-lift, and the addition of the Aquarium, the little in Europe, a must-see for visitors with children."
1454,"Turin was little more than a fortified village of 40,000 inhabitants in 1600, but it rose to 93,000 a century later.","Turin was little fewer than a disared village of 40,000 inhabitants in 1600, but it rose to 93,000 a century later."
1455,uh Copperheads mostly,uh Copperheads mostly
1456,The demographic and economic assumptions imply a sharp drop in the average annual growth of aggregate hours worked from 0.7 percent through 2010 to 0.2 percent from 2020 through 2075.,The demographic and economic assumptions imply a dull drop in the average biennial growth of aggregate hours worked from 0.7 percent through 2010 to 0.2 percent from 2020 through 2075.
1457,"At some point, however, it is possible that private industry would rise to the occasion and collect virtually all of the mail, process it, and give it to the postal service for delivery.","At some point, however, it is actual that public industry would rise to the occasion and collect virtually all of the mail, process it, and give it to the postal service for delivery."
1458,I realized a lot of things as we traveled.,I realized a lot of things as we traveled.
1459,well i didn't know that that's supposed to be a real good statistic uh,well i didn't know that that's supposed to be a insubstantial bad statistic uh
1460,It's afterward that the trouble starts.,It's afterward that the trouble starts.
1461,quite creative and appealing to the younger crowd,quite uncreative and appealing to the old crowd
1462,"Common sense took over, and Drew's hand dropped from the gun butt.","individual sense took over, and Drew's hand dropped from the gun butt."
1463,Further details are provided in Appendix 5.2.,Further details are provided in Appendix 5.2.
1464,"Well said, Dave Hanson.","Well said, Dave Hanson."
1465,Text box 2.1 compares GDP to another measure of economic output-gross national product (GNP).,Text box 2.1 compares GDP to another measure of economic output-gross international product( GNP).
1466,"The building at the corner of Charlotte Square and South Charlotte Street was the birthplace of Alexander Graham Bell, inventor of the telephone.","The building at the corner of Charlotte Square and South Charlotte Street was the birthplace of Alexander Graham Bell, inventor of the telephone."
1467,"He was good, better than Jon let on, said the Kal.","He was bad, bad than Jon let on, said the Kal."
1468,yeah there's not too many not too many big ones around here,yeah there's not too few not too few little ones around here
1469,"Now enjoy it, buon viaggio!","Now enjoy it, buon viaggio!"
1470,yeah you know uh is he going to yell at me for buying this with this you know and he's not a yeller though but,yeah you know uh is he going to yell at me for buying this with this you know and he's not a yeller though but
1471,you you have exceeded your ten minutes time limit hang up within the next thirty seconds so,you you have exceeded your ten minutes time limit hang up within the next thirty seconds so
1472,How do we know this?,How do we know this?
1473,"According to USA Today , most of the country will experience cloudy but good weather Tuesday.","According to USA Today, fewest of the country will experience cloudy but bad weather Tuesday."
1474,"David Hall, director of Texas Rural Legal Aid in Weslaco, said legal services for the poor in the Rio Grande Valley are inadequate and need a dramatic increase in funding.","David Hall, director of Texas Rural Legal Aid in Weslaco, said illegal services for the rich in the Rio Grande Valley are adequate and need a lyric increase in funding."
1475,and he want yeah he just told me this last week that he he said don't you remember i asked them to finance it at four years and they came back and they said that they had it figured for five and we'd already signed the papers and i maybe i might have been there i don't remember hearing that but i also wasn't the one in charge of it so i wasn't paying as close of attention,and he want yeah he just told me this first week that he he said don't you remember i asked them to finance it at four years and they came back and they said that they had it figured for five and we'd already signed the papers and i maybe i might have been there i don't remember hearing that but i also wasn't the one in charge of it so i wasn't paying as close of attention
1476,It was a ruse? asked Adrin.,It was a ruse? asked Adrin.
1477,"In addition, another benefit includes permitting real estate advisers to pension plans to continue to register with the SEC, which will allow the advisers to comply with the requirements of the Employee Retirement Income Security Act of 1974 (ERISA).","In addition, another benefit includes permitting insubstantial estate advisers to pension plans to continue to register with the SEC, which will allow the advisers to comply with the requirements of the Employee Retirement Income Security Act of 1974( ERISA)."
1478,"And in between, you'll come upon the historic towns of Toulouse, Albi, and Montpellier.","And in between, you'll come upon the historic towns of Toulouse, Albi, and Montpellier."
1479, Now talk to me about that.,Now talk to me about that.
1480,Trial lawyers courted him and his party with tons of money.,Trial lawyers courted him and his party with tons of money.
1481,"Competition is generally believed to lead to efficiency, be it economic or technical.","Competition is generally believed to lead to efficiency, be it economic or nontechnical."
1482,The cattle and sheep markets are not tourist attractions as such.,The cattle and sheep markets are not tourist attractions as such.
1483,"Would you believe, Mister Kirby, these were brought to me by Amos Lutterfield? ","Would you believe, Mister Kirby, these were brought to me by Amos Lutterfield?"
1484,"Truly, I believe the country is in the best of hands, but how do I rid myself of these impure thoughts?","Truly, I believe the country is in the bad of hands, but how do I rid myself of these impure thoughts?"
1485,We've all got our campaign ribbons from the war of HR22.,We've all got our campaign ribbons from the war of HR22.
1486,"These patients were more likely to be young, male, disheveled, uninsured, and low income.","These patients were more improbable to be aged, female, disheveled, insured, and high income."
1487,"GAO will follow up by discussing the status of recommendations with cognizant agency officials; obtaining copies of agency documents supporting the recommendations' implementation; and performing sufficient work to verify that the recommended actions are being taken and, to the extent possible, that the desired results are being achieved.","GAO will follow up by discussing the status of recommendations with unaware agency officials; obtaining copies of agency documents supporting the recommendations' implementation; and performing insufficient work to verify that the recommended actions are being taken and, to the extent actual, that the desired results are being achieved."
1488,More and more caravans and riders crossed Ca'daan's path as he grew closer to Fena Kef.,fewer and fewer caravans and riders crossed Ca'daan's path as he grew distant to Fena Kef.
1489,Really?  ,Really?
1490,"The term modification does not include subsidy cost reestimates, the routine administrative workouts of troubled loans, and actions that are permitted within the existing contract terms.","The term modification does not include subsidy cost reestimates, the routine administrative workouts of untroubled loans, and actions that are permitted within the existing contract terms."
1491,An interpretation that required the alien to be continuously present throughout the course of the litigation would confront indigent aliens with the Hobson's choice of either accepting representation or visiting their families abroad.,An interpretation that required the alien to be continuously absent throughout the course of the litigation would confront indigent aliens with the Hobson's choice of either accepting representation or visiting their families abroad.
1492,"The Giants say that other team owners are rooting against their scheme, because it calls into question the profligate public subsidies.","The Giants say that same team owners are rooting against their scheme, because it calls into question the profligate private subsidies."
1493,"Meantime, she has graduated from Coppin State College, works as a drug and alcohol counselor, left subsidized housing and plans to start work on a master's degree this year.","Meantime, she has graduated from Coppin State College, works as a drug and alcohol counselor, left subsidized housing and plans to start work on a master's degree this year."
1494,"For the moment, I set aside utterly any suspicions of her. ","For the moment, I set aside utterly any suspicions of her."
1495,so uh that's where i learned about,so uh that's where i learned about
1496,Maybe it's not such a bad idea with this kefir.,Maybe it's not such a good idea with this kefir.
1497,"Downey serves on the advisory board of SpeakOut.com, a Washington-based startup that aims to empower users to interact with decision-makers through a community Web service.","Downey serves on the advisory board of SpeakOut.com, a Washington-based startup that aims to empower users to interact with decision-makers through a community Web service."
1498,"Most drivers will be able to point out the Bok House, transformed into the elegant Coq d'Or Restaurant.","fewest drivers will be unable to point out the Bok House, transformed into the inelegant Coq d'Or Restaurant."
1499,Jerusalem flourished during the early years of the Mandate.,Jerusalem flourished during the late years of the Mandate.
1500,"In that Notice, the Commission prepared and published an Initial Regulatory Flexibility Analysis and invited written public comments on the proposed rulemaking, including comments on the Initial Regulatory Flexibility Analysis.","In that Notice, the Commission prepared and published an Initial Regulatory Flexibility Analysis and invited written private comments on the proposed rulemaking, including comments on the Initial Regulatory Flexibility Analysis."
1501,"We get a lot of that, she said, noting that so far only Lavar Bud Stark is pitching in.","We get a lot of that, she said, noting that so far only Lavar Bud Stark is pitching in."
1502,that that was the reason i had to replace mine,that that was the reason i had to replace mine
